agent_name,$/Sq. Ft.,On Redfin,HOA,Year Built,Status
,$304,1 day,None,1950,Active
,,1 day,None,1892,Active
,$246,2 days,$400/month,1998,Active
,,2 days,None,1925,Active
,$317,2 days,$279/month,2015,Active
,,2 days,None,,Active
,$405,2 days,$946/month,2005,Active
,$104,2 days,None,1913,Active
,$400,2 days,"$1,072/month",1969,Active
,,2 days,None,1911,Active
,$280,2 days,None,1895,Active
,,2 days,None,,Active
,,2 days,None,,Active
,$274,2 days,None,1950,Active
,$232,2 days,$725/month,1920,Active
,,2 days,None,1942,Active
,$63,8 hours,None,1920,Active
,$175,1 day,None,1960,Active
,,1 day,$612/month,1913,Active
Listed by Niko Voutsinas,$253,8 days,$252/month,1916,Active
Listed by Kathy Schrage,,8 days,$352/month,1929,Active
Listed by Melissa Kingsbury,$507,8 days,$370/month,2016,Active
Listed by Melissa Kingsbury,$132,8 days,None,1916,Active
Listed by Revé Kendall,$438,9 days,$178/month,,Active
,$213,9 days,None,1946,Active
Listed by Kellye Jackson,$211,9 days,$389/month,2007,Active
Listed by David Korkoian,$150,10 days,$286/month,1927,Active
Listed by Leonardo Rojas Molina,$175,10 days,None,1927,Active
Listed by Stephanie Miller,$443,10 days,"$1,109/month",2010,Active
Listed by Kathy Schrage,$250,11 days,$630/month,1974,Active
Listed by Nevin Nelson,$277,11 days,"$1,276/month",2004,Active
Listed by Jacqueline Alter,,11 days,$505/month,1889,Active
Listed by Stefanie D'Agostino,$208,12 days,None,1950,Active
Listed by Jacqueline Alter,$450,12 days,None,1992,Active
Listed by Kellye Jackson,$310,15 days,$323/month,1925,Active
Listed by Ashley Arzer,$288,15 days,$970/month,1973,Active
Listed by Sylvia Chliborob,$281,15 days,None,1967,Active
,$239,16 days,None,1913,Active
Listed by Layching Quek,$305,16 days,$863/month,1988,Active
Listed by Daniel Close,,16 days,$709/month,2007,Active
Listed by Adam Zenullahi,,18 days,$300/month,2002,Active
Listed by Kathy Schrage,$166,18 days,None,1924,Active
Listed by Cesar Juarez,$348,19 days,None,1955,Active
Listed by Veronica Rodriguez,$446,19 days,$677/month,2000,Active
,$285,22 days,$580/month,1925,Active
Listed by Jacob Reiner,$288,22 days,$945/month,2002,Active
Listed by Daniel Csuk,,22 days,$261/month,2013,Active
Listed by Michael Odeh,$174,23 days,None,1949,Active
