streetLine,price,hoa,sqFt,pricePerSqFt,lotSize,beds,baths,city,state,zip,postalCode,countryCode,yearBuilt,propertyType,latitude,longitude
8190 Shifting Sands Dr,440000,,1461,301,5793,3,2.5,Reno,NV,89506,89506,US,1997,SingleFamilyResidence,39.632098,-119.9134712
5180 Ronald Stephen Cir,370000,202,1270,291,871,2,2.5,Reno,NV,89503,89503,US,2020,SingleFamilyResidence,39.570357,-119.831194
6900 Grass Valley Rd,1200000,,3212,374,1792058,4,3.0,Reno,NV,89510,89510,US,2005,SingleFamilyResidence,39.8669276,-119.6847298
6097 Mesa Rd,1795000,60,3137,572,35283,5,3.5,Reno,NV,89511,89511,US,2000,SingleFamilyResidence,39.4270748,-119.8022043
1885 Trailcreek Way,555000,250,1422,390,5662,2,2.0,Reno,NV,89523,89523,US,2005,SingleFamilyResidence,39.5342248,-119.9540204
2901 Brave Ln Lot N13,707108,50,1973,358,35414,4,2.0,Reno,NV,89506,89506,US,2024,SingleFamilyResidence,39.6137749,-119.825156
387 Smithridge Park,299900,186,1220,246,,2,1.5,Reno,NV,89502,89502,US,1970,SingleFamilyResidence,39.4826374,-119.785993
1835 Hillboro Ave,389000,,973,400,6098,3,2.0,Reno,NV,89512,89512,US,1961,SingleFamilyResidence,39.5428336,-119.7908349
3120 Chert Butte Lot S3,659990,50,1836,359,35022,3,2.0,Reno,NV,89506,89506,US,2024,SingleFamilyResidence,39.609905,-119.826376
747 Silver Run Dr,775000,,2169,357,10890,4,2.0,Reno,NV,89521,89521,US,2002,SingleFamilyResidence,39.3907968,-119.7290938
855 Chert Butte Lot N20,773172,50,2125,364,36633,3,3.5,Reno,NV,89506,89506,US,2024,SingleFamilyResidence,39.611465,-119.823179
2801 Sage Rdg,799900,25,2519,318,7405,3,2.5,Reno,NV,89509,89509,US,1998,SingleFamilyResidence,39.477458,-119.8353161
14115 Glowing Amber Ct,899000,54,2902,310,7405,4,3.0,Reno,NV,89511,89511,US,2020,SingleFamilyResidence,39.3909716,-119.7868463
701 Aspen Trl,1695000,215,3574,474,25961,4,3.0,Reno,NV,89519,89519,US,1998,SingleFamilyResidence,39.5016757,-119.8830538
6345 Wetzell Ct,1945000,1080,3916,497,10018,3,3.5,Reno,NV,89511,89511,US,2002,SingleFamilyResidence,39.3644533,-119.8309577
11036 Zeolite Dr,319000,,1020,313,6098,3,2.0,Reno,NV,89506,89506,US,1979,SingleFamilyResidence,39.6434076,-119.8786317
9445 Flying Horse Rd,1109000,127,3263,340,6098,4,3.5,Reno,NV,89521,89521,US,2021,SingleFamilyResidence,39.4440487,-119.7239867
606 E 7th St,799000,,2147,372,9583,4,2.0,Reno,NV,89512,89512,US,1910,Accommodation,39.5352887,-119.8061272
5501 E Rainbow Ridge Ct,625000,,2272,275,34848,4,3.0,Reno,NV,89523,89523,US,1988,SingleFamilyResidence,39.5331,-119.8747477
2415 Marina Cir,2810000,375,5470,514,16073,4,4.5,Reno,NV,89519,89519,US,2000,SingleFamilyResidence,39.4756533,-119.8215096
742 W Plumb Ln,820000,,2172,378,6534,4,2.5,Reno,NV,89509,89509,US,1942,SingleFamilyResidence,39.5052051,-119.8209324
1555 Zolezzi Ln,1425000,,3629,393,43560,4,3.5,Reno,NV,89511,89511,US,2002,SingleFamilyResidence,39.4193287,-119.784919
13844 Lear Blvd,256000,225,1128,227,43,2,1.5,Reno,NV,89506,89506,US,1979,SingleFamilyResidence,39.6429781,-119.8803133
1595 Alturas Ave,775000,,2814,275,8276,5,3.0,Reno,NV,89503,89503,US,1996,SingleFamilyResidence,39.5434951,-119.8322223
15 Rimfire,1950000,117,5033,387,43124,4,4.0,Reno,NV,89519,89519,US,1989,SingleFamilyResidence,39.4940031,-119.871465
10537 Claim Jumper Way,1230000,52,2874,428,9583,3,3.0,Reno,NV,89521,89521,US,2019,SingleFamilyResidence,39.4233628,-119.7062014
255 N Sierra St #801,295000,433,587,503,4356,,1.0,Reno,NV,89501,89501,US,1978,SingleFamilyResidence,39.5277922,-119.8151418
305 Taurus Cir,339000,65,1536,221,10018,2,2.0,Reno,NV,89521,89521,US,1972,SingleFamilyResidence,39.3901968,-119.7362316
11420 Torino Ct,649500,17,1837,354,6098,4,2.0,Reno,NV,89521,89521,US,2008,SingleFamilyResidence,39.4072015,-119.7319036
4700 Plumas St,1900000,825,2540,748,10018,2,2.5,Reno,NV,89509,89509,US,1977,SingleFamilyResidence,39.4801405,-119.8123166
484 E 8th St,649900,,1820,357,4878,7,2.0,Reno,NV,89512,89512,US,1932,Accommodation,39.5356839,-119.8081123
1550 River Hill Way Unit Homesite 31,1086965,262,3185,341,9583,4,3.5,Reno,NV,89523,89523,US,2024,SingleFamilyResidence,39.5268329,-119.9165762
935 Demos Ct,699900,20,2960,236,13068,4,3.5,Reno,NV,89512,89512,US,2007,SingleFamilyResidence,39.5537313,-119.808789
7167 Windstar Dr,850000,,3170,268,10018,4,3.5,Reno,NV,89523,89523,US,2002,SingleFamilyResidence,39.5444112,-119.9075738
1200 Riverside Dr Unit 1248,825000,1277,2178,379,,2,2.5,Reno,NV,89503,89503,US,1972,SingleFamilyResidence,39.521015,-119.827926
4700 Alpes Way,3900000,400,5068,770,30927,3,3.5,Reno,NV,89511,89511,US,2003,SingleFamilyResidence,39.3579504,-119.8304364
629 Sinclair St,1500000,,4570,328,6969,7,2.0,Reno,NV,89501,89501,US,1918,Accommodation,39.5200396,-119.8077157
655 Meadow Rock Ln,1900000,131,3131,607,43864,4,3.5,Reno,NV,89511,89511,US,2016,SingleFamilyResidence,39.4106845,-119.7681345
17280 Whippoorwill Ln,369000,,1340,275,18295,3,2.0,Reno,NV,89508,89508,US,1990,SingleFamilyResidence,39.6805144,-119.960152
1245 Del Webb W,495000,250,1246,397,5662,1,2.0,Reno,NV,89523,89523,US,2010,SingleFamilyResidence,39.5224921,-119.9541103
688 Spokane St,349900,,984,356,6969,2,1.0,Reno,NV,89512,89512,US,1925,SingleFamilyResidence,39.5360322,-119.8007764
250 Orrcrest,455000,70,1593,286,7405,3,2.5,Reno,NV,89506,89506,US,2006,SingleFamilyResidence,39.574856,-119.8245611
10280 Shenandoah Dr,749900,,2271,330,57934,4,2.5,Reno,NV,89508,89508,US,1978,SingleFamilyResidence,39.6710512,-119.9101816
